TAZ,origins_eet,destinations_eet,origins_mc,destinations_mc
972.0,444,185,424,167
973.0,339,6121,371,6088
974.0,587,139,580,140
975.0,111,163,107,143
976.0,533,161,521,138
977.0,4,50,0,32
978.0,542,2268,550,2364
979.0,467,671,424,691
980.0,192,1297,169,1297
981.0,1053,2814,1097,2789
982.0,648,336,649,358
983.0,1330,856,1331,871
984.0,395,50,411,62
985.0,1789,935,1815,926
986.0,221,156,206,177
987.0,1426,1491,1436,1436
988.0,2508,1966,2598,2028
989.0,580,144,599,127
990.0,714,218,691,245
991.0,450,374,395,333
992.0,167,49,183,45
993.0,1627,458,1572,440
994.0,184,303,188,315
995.0,376,136,342,111
996.0,197,83,185,59
997.0,212,938,200,985
998.0,86,799,92,792
999.0,691,212,751,258
1000.0,338,2676,337,2773
1001.0,339,104,328,94
1002.0,247,501,261,522
1003.0,363,1762,325,1601
1004.0,1000,358,990,305
1005.0,978,195,1005,231
1006.0,350,779,369,572
1007.0,851,173,819,198
1008.0,2394,884,2355,842
1009.0,3085,2219,3112,2090
1010.0,1566,407,1566,434
1012.0,559,2225,581,2286
1013.0,201,78,230,45
1014.0,27,553,28,571
1015.0,1179,274,1142,290
1016.0,2622,592,2557,567
1017.0,1784,1617,1857,1671
1018.0,547,717,542,700
1019.0,625,158,597,157
1020.0,1183,319,1143,318
1021.0,2,8,0,8
1022.0,320,105,333,114
1023.0,514,118,500,90
1024.0,43,354,42,349
1025.0,1312,512,1332,521
1026.0,1014,212,1026,215
1027.0,698,149,676,149
1028.0,531,135,518,147
1029.0,71,798,68,806
1030.0,1245,487,1194,473
1031.0,2301,543,2213,545
1032.0,1337,427,1372,473
1033.0,400,84,380,86
1034.0,303,556,328,524
1035.0,159,59,177,62
1036.0,36,54,37,60
1037.0,1216,1788,1226,1945
1038.0,1472,224,1472,212
1039.0,3856,1231,3840,1213
1040.0,525,2050,537,2038
1041.0,650,159,645,122
1042.0,320,104,336,116
1043.0,338,74,345,123
1044.0,635,288,622,293
1045.0,1948,638,1956,607
1046.0,846,684,842,655
1047.0,1939,466,1914,399
